THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
656,791,744,975,972,2
656,791,744,975,972,2
656,791,744,975,972,2
656,791,745,975,972,2
656,791,744,975,972,2
657,791,744,975,972,2
657,791,744,975,972,2
656,791,743,975,972,2
656,790,743,975,972,2
656,791,743,975,972,2
656,790,743,975,972,2
656,790,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,971,2
656,789,743,975,972,2
656,789,743,975,971,2
656,789,742,975,971,2
656,789,742,975,971,2
656,788,741,975,971,2
656,788,743,975,971,2
656,788,742,975,971,2
656,788,743,975,971,2
656,788,742,975,971,2
656,788,743,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,742,975,971,2
656,788,743,975,971,2
656,787,743,975,971,2
656,788,742,974,971,2
656,788,741,974,971,2
656,788,742,975,971,2
656,788,743,974,971,2
656,788,741,974,971,2
656,788,741,974,971,2
657,788,741,974,971,2
657,788,740,974,971,2
658,788,740,974,971,2
657,788,741,974,971,2
657,787,741,974,971,2
657,787,741,974,971,2
657,787,742,974,971,2
657,787,741,974,971,2
657,787,742,974,971,2
656,787,741,974,971,2
656,786,740,974,971,2
657,786,741,975,971,2
657,786,741,974,971,2
656,786,742,974,971,2
656,786,741,974,971,2
656,786,741,975,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,742,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,745,974,971,2
656,786,740,974,971,2
656,786,741,974,971,2
656,786,742,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,740,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
657,786,740,974,971,2
656,786,740,974,971,2
656,786,741,974,970,2
656,786,741,974,970,2
656,786,740,974,971,2
656,786,740,974,971,2
656,786,741,974,971,2
656,786,741,974,971,2
656,786,740,974,971,2
657,786,740,974,971,2
657,786,740,974,971,2
657,786,740,974,971,2
657,786,740,974,971,2
657,786,741,974,971,2
657,787,742,974,971,2
658,787,742,975,971,2
657,786,741,975,971,2
659,787,741,974,971,2
657,787,741,974,971,2
658,787,741,974,971,2
658,787,741,974,971,2
657,787,741,974,971,2
657,787,741,974,971,2
657,787,741,974,971,2
657,787,741,974,971,2
657,787,741,974,971,2
656,787,741,974,971,2
657,788,744,974,971,2
657,789,743,975,972,2
657,788,743,975,972,2
656,788,742,974,972,2
656,789,743,975,972,2
656,789,743,975,972,2
657,789,743,975,972,2
657,789,742,975,972,2
657,789,743,975,972,2
657,789,742,975,973,2
656,789,742,975,972,2
656,789,743,975,972,2
656,789,743,975,972,2
656,789,742,975,972,2
656,788,742,975,972,2
657,789,743,975,972,2
657,789,743,975,972,2
657,789,742,975,972,2
657,789,742,975,973,2
657,789,742,975,973,2
657,789,743,975,972,2
657,788,743,975,972,2
657,788,742,975,973,2
657,788,743,975,973,2
657,788,742,975,972,2
657,788,742,975,972,2
657,788,743,975,972,2
656,788,742,975,972,2
657,788,742,975,972,2
657,788,742,974,973,2
657,789,742,975,972,2
657,789,742,975,972,2
657,789,742,975,973,2
657,789,742,975,972,2
657,789,743,975,972,2
657,789,743,975,972,2
657,789,743,975,972,2
657,789,744,975,972,2
657,789,743,975,972,2
657,789,743,975,972,2
657,789,743,975,972,2
657,789,742,975,972,2
657,789,742,974,972,2
657,788,742,974,972,2
657,788,742,974,972,2
657,788,742,974,972,2
657,788,742,974,972,2
657,788,742,975,972,2
657,788,742,974,972,2
657,788,742,974,972,2
657,788,742,974,972,2
657,787,741,974,972,2
657,787,741,974,972,2
657,787,741,974,972,2
657,787,741,974,972,2
657,787,742,974,972,2
657,787,741,974,972,2
657,787,741,974,972,2
657,787,742,974,972,2
657,787,741,974,972,2
657,787,742,974,972,2
657,787,740,974,972,2
657,787,740,974,972,2
657,787,740,974,972,2
657,787,740,974,972,2
657,787,740,974,972,2
657,787,740,974,972,2
657,786,740,974,972,2
657,795,746,976,974,2
657,808,754,979,976,2
657,820,764,981,979,2
657,829,771,983,981,2
657,827,771,982,980,2
657,826,770,982,980,2
657,823,769,982,980,2
657,816,765,981,979,2
657,821,767,982,979,2
657,829,772,983,981,2
657,827,772,983,981,2
657,827,772,983,981,2
657,825,772,983,980,2
657,825,775,982,980,2
657,827,772,983,981,2
657,852,783,988,986,2
657,863,795,990,989,2
657,872,803,992,990,2
657,870,804,992,990,2
657,867,803,991,989,2
